,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Row Labels,Sum of Estimated Revenue,,Row Labels,Average of Price,,,
,,,Private room,377,,Entire home/apt,211.7942461,,Row Labels,Count of name
,,,Shared room,105,,Private room,89.78097286,,Bronx,1090
,,,Grand Total,482,,Shared room,70.12758621,,Brooklyn,20098
,,,,,,(blank),,,Manhattan,21652
,,,,,,Grand Total,152.7206872,,Queens,5666
,,,,,,,,,Staten Island,373
,,,,,,,,,(blank),
,,,,,,,,,Grand Total,48879
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
